"aër, aëris n (m)",air-1,
"aestas, -atis n (f)",summer-2,
"(a)estivus, -a, -um adj",summer-2,
"(a)estuo, (a)estuare, (a)estuavi, (a)esuatum vb intr",to boil-3,
"(a)estus, -us n (m)",heat-2,
"aetas, -atis n (f)",period-2: age-12,
"aeternitas, -atis n (f)",eternity-2,
"(a)eternus, -a, -um adj",eternal-14,
"aether, -eris n (m)",ether-1,
"aevum, -i n (n)",all time-2,
"affecto, affectare, affectavi, affectatum vb tr",to desire-1,
"affectus, -us n (m)",love-1,
"affero, afferre, attuli, allatum vb tr",to bear-3,
"afficio, afficere, affeci, affectum vb tr",to afflict-2,
"affinis, -e (adfinis) adj",relative (by marriage)-2,
"affirmo, affirmare, affirmavi, affirmatum vb tr",to affirm-3,
"affligo, affligere, afflixi, afflictum vb tr",to afflict-3,
"agellulus, -i n (m)",very small field-1,
"ager, agri n (m)",field-4,
"aggredior, aggredi, aggressus vb dep",to attack-1,
"agmen, -inis n (n)",army-1,
"agnosco, agnoscere, agnovi, agnotum vb tr",to recognize-10,
"agnus, -i n (m)",lamb-2,
"ago, agere, egi, actum vb tr",to act-5: to do-18: to drive-2: to plead-2: to treat-1: to wage-2: (agere gratias idiom) to give thanks-3,
"aio, aiebam vb defective",to say-36,
"ala, -ae n (f)",wing-1,
"albior, -ius adj compar",whiter-1,
"albus, -a, -um adj",white-4,
"(al)chimia, -ae n (f)",alchemy-2,
"algebra, -ae n (f)",algebra (al-jabr: restoration)-1,
"alienus, -a, -um adj possessive",another’s-3: alien from-1: free from-1,
"alimonia, -ae n (f)",food-1,
aliquando adv indef,sometimes-12,
aliquantulum adv indef,a small amount-1,
"aliqui, aliqua, aliquod adj indef","any, some-26",
"(ali)quis, (ali)quid pron indef","anyone, anything, someone, something-28:
“After si, nisi, num, or ne, ali- takes a holiday”-7",
aliquot adj indef indec,some-3,
aliter adv,otherwise-7,
"alius, -a, -ud adj and subst indef","one/some, (an)other-85",
"alligo, alligare, alligavi, alligatum vb tr",to bind-1,
"alloquor, alloqui, allocutus vb dep",to speak-2,
almucabola n indec,al-muqabala: balancing-1,
"alo, alere, alui, al(i)tum vb tr",to nourish-1,
"altar(e), -is n (n)",altar-4,
"alter, altera, alterum pron indef","the one, the other (of two)-18",
"alternus, -a, -um adj",alternate-1,
"altissimus, -a, -um adj superl",highest-2,
"altitudo, -inis n (f)",height-4: depth-2,
"altus, -a, -um adj",loud-1,
"alumnus, -i n (m)",pupil-1,
"alveus, -i n (m)",riverbed-1,
"amabilis, -e adj",worthy of love-1,
"amarus, -a, -um adj",bitter-3,
"ambiguus, -a, -um adj",ambiguous-6,
"ambo, -ae, -o adj num",both-2,
"ambulo, ambulare, ambulavi, ambulatum vb tr and intr",to walk-6,
amen adv,amen-3,
"amens, -entis adj",insane-1,
amicabiliter adv,in a friendly manner-2,
"amicitia, -ae n (f)",friendship-1,
"amicus, -a, -um adj",friendly-2,
"amicus, -i n (m)",friend-5,
"amitto, amittere, amisi, amissum vb tr",to lose-3,
"amnis, -is n (m)",river-1,
"amo, amare, amavi, amatum vb tr",to love-12,
"am(o)enissimus, -a, -um adj",most pleasant-1,
"am(o)enitas, -atis n (f)",pleasantness-1,
"amor, -oris n (m)",love-28,
"amoveo, amovere, amovi, amotum vb tr",to remove-1,
"amplector, amplecti, amplexus vb dep",to embrace-1,
"amplexor, amplexari, amplexatus vb dep",to embrace-2,
"amplexus, -us n (m)",embrace-2,
"amplifico, amplificare, amplificavi, amplificatum vb tr",to enlarge-1,
"amplissimus, -a, -um adj",very full-1,
amplius adv compar,henceforth-2: more-5,
"amplus, -a, -um (amplia) adj",full-1,
"ampulla, -ae n (f)",jar-2,
an conj,(introduces the second of a two-part question) or-1,
"anas, -atis n (f)",duck-1,
"anathema, -atis n (n)",anathema-1,
"ancilla, -ae n (f)",handmaid-2,
"anfractus, -us n (m)",spiral-1,
"angelicus, -a, -um adj",angelic-4,
"angelus, -i n (m)",angel-16,
"angustia, -ae n (f)",narrow passage-1,
"angustus, -a, -um adj",narrow-2,
"anima, -ae n (f)",soul-27,
"animadverto, -ere, animadverti, animadversum vb tr",(animum adverto)  to notice-3,
"animal, -alis n (n)",animal-15,
"animalis, -e adj",animate-1,
"animans, -antis adj",living-3,
"animo, animare, animavi, animatum vb tr",to animate-1,
animosius adv compar,more courageously-1,
"animus, -i n (m)",mind-8: spirit-4,
"anniversarius, -a, -um adj",anniversary-1,
"annona, -ae n (f)",yearly produce-1,
annuatim adv,yearly-2,
"annuo, annuere, annui, annutum vb intr",to nod in approval-1,
"annuntio, annuntiare, annuntiavi, annuntiatum vb tr",to announce-2,
"annus, -i n (m)",year-36,
ante adv,beforehand-1: previously-1: forwards-1,
ante prep (with acc),before-18,
"antecedo, antecedere, antecessi, antecessum vb intr",to precede-1,
"antecessus, -i n (m)",ancestor-1,
"anteeo, anteire, antei(v)i, anteitum vb tr and intr",to excel-1,
"antefero, anteferre, antetuli, antelatum vb tr",to place before-1,
"antepono, anteponere, anteposui, antepositum vb tr",to place before-1,
antequam conj,before-3,
"antiquissimus, -a, -um adj superl",most ancient-1,
"antiquus, -a, -um adj",ancient-11,
"anulus, -i n (m)",ring-1,
"anxius, -a, -um adj",anxious-2,
"aperio, aperire, aperui, apertum vb tr",to open-6: to reveal-3,
"apex, -icis n (m)",highest point-1,
"apostato, apostatare, apostatavi, apostatatum vb intr",to apostatize (abandon one’s religion)-1,
"apostolicus, -a, -um adj",apostolic-1,
"apostolus, -i n (m)",apostle (“one who is sent away”)-22,
"apparatus, -us n (m)",preparation-1,
"appareo, apperere, apparui, apparitum vb intr",to appear-10,
"appellatio, -onis n (f)",title-1,
"appello, appellare, appellavi, appellatus vb tr",to call-22,
"appetitus, -us n (m)",appetite-4,
"appeto, appetere, appetivi, appetitum vb tr",to desire-7,
"applico, applicare, applicavi, applicatus (adplico) vb tr",to land (a ship)-2: to place-1,
"appono, apponere, apposui, appositum vb tr",to apply-3: to set (a table)-2: to place near-7,
"apprehendo, -ere, -i, apprehensum (adprehendo) vb tr",to seize-3,
"apprehensio, -onis n (f)",apprehension-1,
5,,
"approbo, approbare, approbavi, approbatum vb tr",to approve-2,
"appropinquo, -are, appropinquavi, appropinquatum vb intr",to approach-2,
aptissime adv superl,most aptly-1,
"aptus, -a, -um adj",suitable-3,
apud prep (with acc),among-13: at-5: before (in front of)-4: in the house of-2,
"aqua, -ae n (f)",water-26,
"aquila, -ae n (f)",eagle-2,
"aquilo, -onis n (m)",north (wind)-1,
"ara, -ae n (f)",altar-1,
"arbiter, arbitri n (m)",on-looker-1: judge-1,
"arbitrium, -ii n (n)",(personal) judgment-7,
